order_item_id,order_id,product_id,quantity,unit_price
1,1,8,1,431.22
2,1,12,2,287.19
3,2,40,3,112.83
4,3,21,2,434.19
5,4,48,1,13.06
6,4,96,2,392.98
7,5,68,1,348.55
8,5,34,3,167.01
9,5,74,3,322.58
10,6,8,2,431.22
11,6,110,3,255.77
12,6,22,2,352.21
13,7,30,3,398.33
14,8,6,2,108.89
15,8,47,2,54.29
16,9,29,2,228.74
17,9,32,2,142.72
18,9,118,3,270.51
19,9,41,2,413.3
20,10,23,1,128.59
21,11,111,2,357.75
22,11,100,2,444.92
23,11,42,1,137.93
24,11,71,2,56.08
25,12,95,3,151.29
26,12,32,2,142.72
27,12,48,3,13.06
28,13,1,2,152.37
29,13,4,1,222.34
30,14,1,3,152.37
31,14,49,3,223.44
32,14,94,2,98.38
33,15,63,1,70.69
34,15,19,3,481.57
35,15,36,1,51.11
36,15,6,1,108.89
37,16,96,1,392.98
38,16,75,1,75.71
39,16,65,1,9.6
40,16,82,2,47.91
41,17,85,1,179.01
42,17,31,2,204.41
43,17,34,2,167.01
44,17,119,2,295.29
45,18,10,1,309.99
46,18,18,3,408.51
47,19,60,2,217.47
48,19,53,1,154.42
49,19,69,2,40.06
50,19,99,1,299.0
51,20,12,1,287.19
52,21,28,2,315.77
53,22,51,3,105.15
54,22,7,3,296.02
55,22,39,2,398.86
56,23,13,2,144.14
57,23,14,1,88.35
58,24,26,2,199.39
59,24,48,3,13.06
60,25,3,1,431.79
61,26,116,2,44.12
62,27,119,3,295.29
63,27,56,3,333.93
64,28,23,2,128.59
65,28,28,1,315.77
66,28,36,2,51.11
67,28,58,1,314.67
68,29,83,2,74.31
69,29,64,2,262.12
70,30,50,1,495.96
71,30,54,1,51.2
72,30,83,3,74.31
73,31,101,3,493.51
74,31,46,2,382.32
75,31,70,2,49.22
76,31,45,3,395.21
77,32,4,2,222.34
78,32,77,1,326.76
79,33,99,3,299.0
80,33,30,1,398.33
81,33,13,1,144.14
82,34,74,2,322.58
83,34,46,1,382.32
84,35,117,3,487.29
85,35,4,3,222.34
86,35,90,2,305.76
87,36,108,2,24.71
88,36,70,2,49.22
89,37,30,3,398.33
90,38,43,3,172.19
91,39,8,1,431.22
92,39,19,3,481.57
93,39,91,1,18.28
94,40,91,3,18.28
95,40,51,3,105.15
96,40,13,2,144.14
