payment_id,order_id,payment_method,amount,payment_status
1,1,Card,1005.6,Pending
2,2,PayPal,338.49,Pending
3,3,Apple Pay,868.38,Paid
4,4,Card,799.02,Paid
5,5,Card,1817.32,Pending
6,6,PayPal,2334.17,Pending
7,7,Bank Transfer,1194.99,Pending
8,8,PayPal,326.36,Paid
9,9,Card,2381.05,Pending
10,10,Bank Transfer,128.59,Paid
11,11,Card,1855.43,Paid
12,12,Google Pay,778.49,Paid
13,13,Bank Transfer,527.08,Paid
14,14,Card,1324.19,Paid
15,15,Bank Transfer,1675.4,Paid
16,16,Card,574.11,Paid
17,17,Apple Pay,1512.43,Paid
18,18,Card,1535.52,Paid
19,19,Google Pay,968.48,Paid
20,20,Apple Pay,287.19,Paid
21,21,PayPal,631.54,Pending
22,22,PayPal,2001.23,Paid
23,23,Card,376.63,Pending
24,24,Card,437.96,Paid
25,25,PayPal,431.79,Paid
26,26,Card,88.24,Paid
27,27,Google Pay,1887.66,Paid
28,28,Card,989.84,Pending
29,29,Bank Transfer,672.86,Pending
30,30,PayPal,770.09,Paid
31,31,Bank Transfer,3529.24,Paid
32,32,Card,771.44,Paid
33,33,PayPal,1439.47,Pending
34,34,PayPal,1027.48,Paid
35,35,Bank Transfer,2740.41,Paid
36,36,PayPal,147.86,Pending
37,37,PayPal,1194.99,Paid
38,38,PayPal,516.57,Pending
39,39,Card,1894.21,Paid
40,40,Apple Pay,658.57,Paid
41,41,Bank Transfer,891.2,Paid
42,42,Apple Pay,742.02,Pending
43,43,PayPal,2981.95,Paid
44,44,Card,2178.24,Paid
45,45,Card,1838.98,Paid
46,46,Apple Pay,1378.51,Paid
47,47,Card,2914.46,Paid
48,48,PayPal,700.27,Paid
49,49,Bank Transfer,208.92,Pending
50,50,PayPal,1376.99,Paid
51,51,Google Pay,901.02,Pending
52,52,Card,896.78,Pending
53,53,Google Pay,1660.68,Pending
54,54,Apple Pay,1097.97,Pending
55,55,Bank Transfer,608.07,Paid
56,56,Bank Transfer,321.36,Paid
57,57,Bank Transfer,49.42,Paid
58,58,Card,1522.06,Pending
59,59,PayPal,403.25,Pending
60,60,Apple Pay,3041.52,Paid
61,61,Card,2494.16,Paid
62,62,Card,1418.55,Pending
63,63,Bank Transfer,1019.3,Paid
64,64,Bank Transfer,1546.93,Paid
65,65,PayPal,210.3,Pending
66,66,Google Pay,2044.14,Paid
67,67,Apple Pay,1602.98,Paid
68,68,PayPal,763.86,Pending
69,69,Bank Transfer,824.77,Pending
70,70,PayPal,128.59,Pending
71,71,Bank Transfer,739.06,Paid
72,72,Google Pay,408.82,Paid
73,73,Card,3689.23,Paid
74,74,PayPal,1302.57,Pending
75,75,Card,1768.59,Paid
