product_id,product_name,category,price
1,Product 1,Home,152.37
2,Product 2,Electronics,227.62
3,Product 3,Beauty,431.79
4,Product 4,Electronics,222.34
5,Product 5,Electronics,388.94
6,Product 6,Home,108.89
7,Product 7,Office,296.02
8,Product 8,Beauty,431.22
9,Product 9,Books,318.22
10,Product 10,Home,309.99
11,Product 11,Home,407.7
12,Product 12,Electronics,287.19
13,Product 13,Books,144.14
14,Product 14,Books,88.35
15,Product 15,Office,149.85
16,Product 16,Books,137.33
17,Product 17,Books,492.82
18,Product 18,Office,408.51
19,Product 19,Home,481.57
20,Product 20,Sports,459.79
21,Product 21,Beauty,434.19
22,Product 22,Home,352.21
23,Product 23,Home,128.59
24,Product 24,Office,164.44
25,Product 25,Home,381.93
26,Product 26,Office,199.39
27,Product 27,Home,290.83
28,Product 28,Beauty,315.77
29,Product 29,Sports,228.74
30,Product 30,Office,398.33
31,Product 31,Electronics,204.41
32,Product 32,Office,142.72
33,Product 33,Beauty,230.07
34,Product 34,Sports,167.01
35,Product 35,Electronics,435.11
36,Product 36,Office,51.11
37,Product 37,Sports,319.25
38,Product 38,Office,182.32
39,Product 39,Electronics,398.86
40,Product 40,Sports,112.83
41,Product 41,Sports,413.3
42,Product 42,Sports,137.93
43,Product 43,Beauty,172.19
44,Product 44,Books,69.64
45,Product 45,Sports,395.21
46,Product 46,Office,382.32
47,Product 47,Electronics,54.29
48,Product 48,Sports,13.06
49,Product 49,Home,223.44
50,Product 50,Electronics,495.96
51,Product 51,Sports,105.15
52,Product 52,Office,455.16
53,Product 53,Office,154.42
54,Product 54,Beauty,51.2
55,Product 55,Beauty,128.94
56,Product 56,Beauty,333.93
57,Product 57,Office,86.93
58,Product 58,Sports,314.67
59,Product 59,Office,351.22
60,Product 60,Home,217.47
61,Product 61,Electronics,353.33
62,Product 62,Electronics,110.64
63,Product 63,Electronics,70.69
64,Product 64,Home,262.12
65,Product 65,Sports,9.6
66,Product 66,Office,175.07
67,Product 67,Electronics,494.14
68,Product 68,Sports,348.55
69,Product 69,Sports,40.06
70,Product 70,Sports,49.22
71,Product 71,Electronics,56.08
72,Product 72,Beauty,441.09
73,Product 73,Home,194.45
74,Product 74,Home,322.58
75,Product 75,Office,75.71
76,Product 76,Books,283.83
77,Product 77,Books,326.76
78,Product 78,Sports,178.84
79,Product 79,Home,315.9
80,Product 80,Home,460.35
81,Product 81,Books,344.85
82,Product 82,Home,47.91
83,Product 83,Electronics,74.31
84,Product 84,Electronics,296.84
85,Product 85,Sports,179.01
86,Product 86,Sports,160.68
87,Product 87,Home,127.65
88,Product 88,Office,46.7
89,Product 89,Books,302.49
90,Product 90,Office,305.76
91,Product 91,Office,18.28
92,Product 92,Office,438.53
93,Product 93,Home,261.29
94,Product 94,Books,98.38
95,Product 95,Sports,151.29
96,Product 96,Electronics,392.98
97,Product 97,Home,249.97
98,Product 98,Electronics,124.34
99,Product 99,Office,299.0
100,Product 100,Books,444.92
101,Product 101,Electronics,493.51
102,Product 102,Beauty,70.33
103,Product 103,Books,213.33
104,Product 104,Books,343.06
105,Product 105,Sports,477.45
106,Product 106,Electronics,13.26
107,Product 107,Electronics,11.83
108,Product 108,Home,24.71
109,Product 109,Electronics,474.6
110,Product 110,Sports,255.77
111,Product 111,Office,357.75
112,Product 112,Sports,214.67
113,Product 113,Sports,45.8
114,Product 114,Books,271.14
115,Product 115,Home,142.35
116,Product 116,Beauty,44.12
117,Product 117,Home,487.29
118,Product 118,Home,270.51
119,Product 119,Sports,295.29
120,Product 120,Office,342.12
